IDFIL,IDBRANCH,TYPE,GLON_BR,GLAT_BR,N,FLUX
45,26,S,13.9134,-1.25217,1,3.4094014e+21
45,26,S,13.9166,-1.24897,2,3.7868637e+21
45,26,S,13.9198,-1.24898,3,3.4488468e+21
45,26,S,13.9229,-1.24578,4,3.9324374e+21
45,26,S,13.9229,-1.24259,5,3.9324374e+21
45,26,S,13.9229,-1.23939,6,4.1050219e+21
45,26,S,13.9229,-1.23620,7,4.1050219e+21
45,26,S,13.9229,-1.23300,8,4.1332537e+21
45,26,S,13.9198,-1.22981,9,4.1332537e+21
45,26,S,13.9229,-1.22661,10,4.1037436e+21
45,26,S,13.9229,-1.22342,11,4.1037436e+21
45,26,S,13.9229,-1.22023,12,4.1689440e+21
45,26,S,13.9262,-1.21703,13,4.1649239e+21
45,26,S,13.9293,-1.21703,14,4.1649239e+21
52,31,S,13.8015,-1.24896,1,3.7188842e+21
52,31,S,13.8016,-1.24577,2,3.6844576e+21
52,31,S,13.8048,-1.24257,3,3.8336347e+21
52,31,S,13.8048,-1.23938,4,3.9384686e+21
52,31,S,13.8048,-1.23618,5,4.1264921e+21
52,31,S,13.8080,-1.23299,6,4.0038919e+21
52,32,B,13.8207,-1.24257,1,3.6449297e+21
52,32,B,13.8175,-1.23938,2,3.6449297e+21
52,32,B,13.8143,-1.23618,3,3.8617744e+21
52,32,B,13.8111,-1.23618,4,4.0038919e+21
52,32,B,13.8080,-1.23299,5,4.0038919e+21
52,33,S,13.8111,-1.17868,1,3.5745031e+21
52,33,S,13.8111,-1.18188,2,3.7175450e+21
52,33,S,13.8111,-1.18507,3,3.7175450e+21
52,33,S,13.8111,-1.18827,4,3.9271243e+21
52,33,S,13.8143,-1.19146,5,3.9271243e+21
52,33,S,13.8048,-1.19785,6,4.1141042e+21
52,33,S,13.8016,-1.20104,7,4.2024225e+21
52,33,S,13.8016,-1.20424,8,3.9136689e+21
52,33,S,13.8016,-1.20743,9,3.9136689e+21
52,33,S,13.8016,-1.21063,10,3.8591977e+21
52,33,S,13.8016,-1.21382,11,3.8591977e+21
52,33,S,13.8016,-1.21702,12,4.0728186e+21
52,33,S,13.8016,-1.22021,13,4.0728186e+21
52,33,S,13.8016,-1.22341,14,4.3256798e+21
52,33,S,13.8048,-1.22660,15,4.2724141e+21
52,33,S,13.8048,-1.22979,16,4.2724141e+21
52,33,S,13.8080,-1.23299,17,4.0038919e+21
59,35,B,22.6826,-1.23552,1,4.7406765e+21
59,35,B,22.6794,-1.23232,2,5.1992695e+21
59,35,B,22.6794,-1.22913,3,5.1992695e+21
59,36,S,22.6794,-1.22913,1,5.1992695e+21
59,36,S,22.6826,-1.22593,2,5.5542083e+21
59,36,S,22.6858,-1.22274,3,5.4727909e+21
59,36,S,22.6890,-1.21954,4,5.7444420e+21
59,36,S,22.6954,-1.21315,5,5.9407038e+21
59,37,S,22.6698,-1.22594,1,4.8921094e+21
59,37,S,22.6730,-1.22593,2,5.3844126e+21
59,37,S,22.6762,-1.22593,3,5.3844126e+21
59,37,S,22.6794,-1.22913,4,5.1992695e+21
59,38,S,22.7113,-1.21634,1,4.7149721e+21
59,38,S,22.7081,-1.21634,2,4.8719927e+21
59,38,S,22.7049,-1.21634,3,5.5325755e+21
59,38,S,22.7017,-1.21634,4,5.5325755e+21
59,38,S,22.6985,-1.21634,5,6.0146893e+21
59,38,S,22.6954,-1.21315,6,5.9407038e+21
59,39,B,22.6954,-1.20996,1,5.9407038e+21
59,39,B,22.6954,-1.21315,2,5.9407038e+21
90,44,S,20.6093,-1.23279,1,5.4505509e+21
90,44,S,20.6061,-1.22960,2,5.4505509e+21
90,44,S,20.6029,-1.22640,3,5.8376619e+21
90,44,S,20.5997,-1.22641,4,5.7133796e+21
90,44,S,20.5965,-1.22641,5,5.9167046e+21
90,44,S,20.5933,-1.22321,6,5.9234314e+21
90,44,S,20.5901,-1.22321,7,5.9195414e+21
90,44,S,20.5869,-1.22321,8,5.9195414e+21
90,44,S,20.5837,-1.22002,9,5.9878988e+21
90,44,S,20.5805,-1.21683,10,6.3526860e+21
90,45,B,20.5741,-1.22002,1,6.3654720e+21
90,45,B,20.5773,-1.22002,2,6.3654720e+21
90,45,B,20.5805,-1.21683,3,6.3526860e+21
90,46,S,20.5805,-1.21683,1,6.3526860e+21
90,46,S,20.5805,-1.21363,2,6.3051261e+21
90,46,S,20.5837,-1.21044,3,6.3051261e+21
90,46,S,20.5837,-1.20724,4,5.8322975e+21
90,46,S,20.5837,-1.20405,5,5.8322975e+21
90,46,S,20.5837,-1.20085,6,5.9109376e+21
90,46,S,20.5837,-1.19766,7,5.9109376e+21
90,47,S,20.5901,-1.19127,1,5.5796090e+21
90,47,S,20.5869,-1.19446,2,5.8250095e+21
90,47,S,20.5837,-1.19766,3,5.9109376e+21
90,48,B,20.5805,-1.19127,1,5.8620849e+21
90,48,B,20.5837,-1.19766,2,5.9109376e+21
